id,Class
117564,0.0003775311936988289
117565,0.0024471715511056834
117566,0.0005205620220961954
117567,0.05272829590332051
117568,0.0038190860187023523
117569,0.9898312027014017
117570,0.0004104247490451867
117571,0.00930546057140927
117572,0.0012447045278609933
117573,0.0005097076265229186
117574,0.0012125458470022
117575,0.40252899714447016
117576,0.012860801855526934
117577,0.004522658042136928
117578,0.00040134343907625227
117579,0.0019061088245349177
117580,0.002344183674979817
117581,0.0005232402443440299
117582,0.004939114228477206
117583,0.0022039060274747185
117584,0.00038845441749413897
117585,0.002421177173917362
117586,0.0005111790984634188
117587,0.9285013703195584
117588,0.05168128937831426
117589,0.00043112687247324317
117590,0.9870985022422034
117591,0.0005814674233836384
117592,0.0005831899246428132
117593,0.0011473247915561088
117594,0.0015797602064249055
117595,0.5125426136164446
117596,0.0006733963781670171
117597,0.00039439921386797734
117598,0.0006421696064231869
117599,0.0008722819283945739
117600,0.9878923003037657
117601,0.0006121707566107411
117602,0.004545059195507679
117603,0.00041766249552285405
117604,0.0003762369332145062
117605,0.0006393056581128911
117606,0.0006193629554756618
117607,0.1496237049142439
117608,0.0004188693498542915
117609,0.002371927735912536
117610,0.0027780773283873597
117611,0.9895601157977587
117612,0.0006767362886994417
117613,0.00038647093447456644
117614,0.03969793736369975
117615,0.00041309016653237596
117616,0.0029730400831355047
117617,0.0005408645567461826
117618,0.00041283582400049323
117619,0.038786112199588704
117620,0.0003598747420956414
117621,0.0010223158239242888
117622,0.0013096730639204528
117623,0.9905018579716801
117624,0.00666092374242502
117625,0.0003986951271895377
117626,0.0015559271749051964
117627,0.0004343239850966417
117628,0.0004088393977799003
117629,0.002154627307181516
117630,0.008166323947293747
117631,0.0012202034437165609
117632,0.01119554830010154
117633,0.0047691073248589235
117634,0.0005411258763106521
117635,0.9775076588504003
117636,0.0004556374664975142
117637,0.968682993632914
117638,0.9864270385402472
117639,0.003123561822439023
117640,0.0003828713096948805
117641,0.0018469528832389353
117642,0.00039384785424753004
117643,0.002500828636696488
117644,0.07501370468632472
117645,0.9881267962952549
117646,0.0005650844053854848
117647,0.0004016614488162586
117648,0.0031427319346849225
117649,0.028997999016167928
117650,0.00044807264879835205
117651,0.0008222630273545574
117652,0.028538805453479407
117653,0.0003950964225092431
117654,0.0005372795382053934
117655,0.00036734397123097163
117656,0.9900032127716828
117657,0.0005319488354911868
117658,0.003343017444619732
117659,0.0008310917238417571
117660,0.0033270679428624578
117661,0.9831822519455873
117662,0.10147960823872797
117663,0.0003763617426141901
117664,0.001607110859178782
117665,0.9843641678374014
117666,0.00159770812909078
117667,0.0004624437489112062
117668,0.9901300034400231
117669,0.0005662815525587389
117670,0.003392626016781618
117671,0.00035741488231576436
117672,0.00044044963178546865
117673,0.0029588036297464233
117674,0.0011391903760769777
117675,0.6343517516871388
117676,0.0035195015110160337
117677,0.00039364917491942783
117678,0.00041297289596998327
117679,0.006343930591036213
117680,0.0005998924353123048
117681,0.00047129027273219015
117682,0.0005997829107105299
117683,0.0004091656252966053
117684,0.9864401158240956
117685,0.0004109986664826887
117686,0.0003940439134782837
117687,0.0005921850149386633
117688,0.00041029073577069047
117689,0.0006010181398081455
117690,0.0004077155638914994
117691,0.00043682980729018903
117692,0.002480596299610649
117693,0.0019320059506558822
117694,0.9745345567089005
117695,0.0005805467718006225
117696,0.0005427942627448279
117697,0.01671878429934361
117698,0.0003620600177510806
117699,0.02156313733154212
117700,0.001417255081341303
