id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.5661945939064026,0.0006897092098370194,0.000993638881482184,0.0004150409367866814,0.0007131469319574535,0.001558329677209258,0.0014081891858950257
19220,0.28818386793136597,0.019764427095651627,0.00826361496001482,0.0006911904783919454,0.2130725383758545,0.26238757371902466,0.9043657779693604
19221,0.0009480959852226079,0.03884115070104599,0.0640237107872963,0.0009837151737883687,0.008009404875338078,0.3125962018966675,0.8792609572410583
19222,0.15865278244018555,0.0012648263946175575,0.0006000230205245316,0.0008575495448894799,0.011205986142158508,0.44355499744415283,0.9310075640678406
19223,0.002078735502436757,0.0011651481036096811,0.0007018996984697878,0.001159742008894682,0.007904380559921265,0.6559264659881592,0.0007671723142266273
19224,0.06647757440805435,0.3801942765712738,0.0013588638976216316,0.0004174202331341803,0.019801098853349686,0.4177373945713043,0.8642677068710327
19225,0.42285794019699097,0.0022019129246473312,0.002990611596032977,0.000426577462349087,0.06256542354822159,0.09856603294610977,0.9182502031326294
19226,0.01346798799932003,0.2539638876914978,0.0036903731524944305,0.0024144058115780354,0.04361864924430847,0.28781408071517944,0.908047616481781
19227,0.0005487759481184185,0.3974874019622803,0.3228781521320343,0.00161789171397686,0.005998332053422928,0.2248004972934723,0.8538841009140015
19228,0.31988248229026794,0.010401980951428413,0.001068277982994914,0.0004020468913950026,0.00324039813131094,0.3517742455005646,0.9437758326530457
19229,0.0007757740677334368,0.02299020066857338,0.0006721175159327686,0.0020309200044721365,0.02444911003112793,0.39917460083961487,0.8865295052528381
19230,0.0002405832492513582,0.001047232886776328,0.939019501209259,0.0004046504036523402,0.0003094087296631187,0.0006643287488259375,0.0028692593332380056
19231,0.00023964501451700926,0.0008338798070326447,0.9529184699058533,0.000405610422603786,0.00031501337070949376,0.0006746783619746566,0.0029571945779025555
19232,0.07587746530771255,0.007256790064275265,0.0008448125445283949,0.00045262195635586977,0.02916746959090233,0.17814870178699493,0.9173088669776917
19233,0.0020724718924611807,0.008709695190191269,0.0006628267001360655,0.002602384891360998,0.014163708314299583,0.4200485944747925,0.8971530199050903
19234,0.0007025463273748755,0.014437593519687653,0.0007297047413885593,0.0012824481818825006,0.01080437283962965,0.5185047388076782,0.0008088534232228994
19235,0.04031461849808693,0.0024319938383996487,0.0007458049803972244,0.0005000121309421957,0.002759382128715515,0.7875219583511353,0.0007406337535940111
19236,0.04465202987194061,0.02140655927360058,0.05361692234873772,0.0011498588137328625,0.14274916052818298,0.2743217647075653,0.8392277956008911
19237,0.15366147458553314,0.0011164691532030702,0.000628913112450391,0.0007173441699706018,0.0033408203162252903,0.718275785446167,0.0007784012123011053
19238,0.0006152609712444246,0.5524229407310486,0.0005453068879432976,0.001192658208310604,0.0009178316686302423,0.002062192652374506,0.0015171122504398227
19239,0.0002985915925819427,0.0008307193638756871,0.9282991886138916,0.0004244460433255881,0.0003063271869905293,0.0006973551935516298,0.003190028015524149
19240,0.15474891662597656,0.0016491501592099667,0.0016771417576819658,0.0010327213676646352,0.04103018343448639,0.2261991798877716,0.9300812482833862
19241,0.0026062035467475653,0.0018761183600872755,0.0008855402120389044,0.0006271398160606623,0.019700927659869194,0.43173542618751526,0.9235160946846008
19242,0.0011233944678679109,0.0007331713568419218,0.9451541304588318,0.0004124447295907885,0.0003135579463560134,0.0005980243440717459,0.010249452665448189
19243,0.04239552840590477,0.5967943072319031,0.0021955235861241817,0.0004691166686825454,0.0018883346347138286,0.0021147774532437325,0.0015198695473372936
19244,0.0002532804210204631,0.000863194465637207,0.953651487827301,0.00041794643038883805,0.0003054330591112375,0.0006491087842732668,0.002850667806342244
19245,0.14923924207687378,0.006213652901351452,0.0007466132519766688,0.0004059706989210099,0.008125605061650276,0.27549731731414795,0.9112213253974915
19246,0.3198109269142151,0.020099390298128128,0.003078480949625373,0.0006864741444587708,0.035801976919174194,0.2677086591720581,0.9114727973937988
