Id,SalePrice
1461,128013.1484375
1462,163463.421875
1463,186566.390625
1464,196924.671875
1465,185932.578125
1466,174995.40625
1467,177945.671875
1468,168937.203125
1469,183192.015625
1470,127414.734375
1471,195801.28125
1472,95278.28125
1473,100106.7109375
1474,150516.390625
1475,121495.5234375
1476,380478.40625
1477,253029.546875
1478,272329.875
1479,265623.46875
1480,496790.3125
1481,334703.1875
1482,206049.53125
1483,176248.140625
1484,165361.921875
1485,175838.75
1486,195345.0
1487,354878.71875
1488,236086.328125
1489,203251.34375
1490,233748.265625
1491,190145.09375
1492,91549.25
1493,184341.03125
1494,290996.5625
1495,290115.46875
1496,240231.75
1497,181421.0625
1498,162567.75
1499,161214.75
1500,160330.703125
1501,175855.6875
1502,152687.453125
1503,307109.625
1504,237792.421875
1505,228711.78125
1506,183502.625
1507,240990.90625
1508,195556.90625
1509,163193.0
1510,148628.453125
1511,144193.84375
1512,165520.546875
1513,143183.59375
1514,169700.59375
1515,192830.453125
1516,148373.796875
1517,166022.03125
1518,124474.875
1519,221293.0625
1520,136710.3125
1521,137899.21875
1522,168111.234375
1523,112437.84375
1524,125567.0234375
1525,127888.6015625
1526,123979.3671875
1527,107600.03125
1528,135397.28125
1529,149857.78125
1530,178804.609375
1531,115324.7578125
1532,102945.015625
1533,145495.6875
1534,117561.5546875
1535,159615.0625
1536,112345.390625
1537,68475.5703125
1538,172184.125
1539,187521.328125
1540,100775.21875
1541,143652.8125
1542,142203.1875
1543,217130.078125
1544,82082.453125
1545,115240.7734375
1546,132482.90625
1547,138309.515625
1548,133011.984375
1549,115844.5390625
1550,136251.828125
1551,113454.1484375
1552,138224.140625
1553,152895.09375
1554,116050.5859375
1555,177526.765625
1556,93535.5859375
1557,109816.734375
1558,94827.484375
1559,95445.8828125
1560,138035.21875
1561,145678.359375
1562,130367.4375
1563,121438.4375
1564,156273.9375
1565,146821.078125
1566,247859.8125
1567,70358.9921875
1568,233758.453125
1569,146979.78125
1570,141885.65625
1571,119203.46875
1572,145181.125
1573,235437.03125
1574,114211.1875
1575,228339.1875
1576,239095.453125
1577,193974.140625
1578,143738.796875
1579,147719.203125
